rank,candidate_id,server_state_sha,backend,serve_config,serve_params_json,workload,input_len,output_len,max_concurrency,request_rate,objective_metric,objective_value,relative_to_best,valid_repeats,failed_repeats,total_repeats,passes_constraints,constraint_reason,median_goodput_at_slo,median_output_tok_s_per_gpu,mean_output_tok_s_per_gpu,std_output_tok_s_per_gpu,cv_output_tok_s_per_gpu,median_p99_ttft_ms,mean_p99_ttft_ms,median_p99_tpot_ms,mean_p99_tpot_ms,median_request_throughput
2,a14324327f8c,95f7780d8180,sglang,sglang_tp4,"{""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",prompt256_out128_conc4_seed0_rep0,256,128,4,inf,goodput_at_slo,74.96157584415452,0.9546242132425669,1,0,1,True,,74.96157584415452,74.96157584415452,74.96157584415452,0.0,0.0,165.34488553996198,165.34488553996198,15.849671045097672,15.849671045097672,4.369345040096439
3,5caf3fdc02e4,702117e71a9e,vllm,vllm_tp4dp1_ep,"{""all2all_backend"":""allgather_reducescatter"",""data_parallel_size"":1,""dtype"":""bfloat16"",""enable_ep_weight_filter"":true,""enable_expert_parallel"":true,""enable_prefix_caching"":false,""expert_placement_strategy"":""linear"",""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":4}",prompt256_out128_conc4_seed0_rep0,256,128,4,inf,goodput_at_slo,74.91305507956052,0.9540063087200849,1,0,1,True,,74.91305507956052,74.91305507956052,74.91305507956052,0.0,0.0,320.16186884371564,320.16186884371564,13.275686590198985,13.275686590198985,2.3410329712362663
4,062e476d673a,4552c2e79bdc,sglang,sglang_tp4_ep,"{""attention_backend"":""flashinfer"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""ep"":4,""max_running_requests"":128,""mem_fraction_static"":0.85,""moe_a2a_backend"":""none"",""moe_runner_backend"":""auto"",""tp"":4}",prompt256_out128_conc4_seed0_rep0,256,128,4,inf,goodput_at_slo,68.9420534990037,0.8779665160407043,1,0,1,True,,68.9420534990037,68.9420534990037,68.9420534990037,0.0,0.0,171.59278422244824,171.59278422244824,17.234421055523256,17.234421055523256,4.018480349668705
5,ecde138830b5,d4b92d1f00e6,sglang,sglang_tp4_dpattn,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":4,""dtype"":""bfloat16"",""enable_dp_attention"":true,""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",prompt256_out128_conc4_seed0_rep0,256,128,4,inf,goodput_at_slo,56.907492050526905,0.7247082150365192,1,0,1,True,,56.907492050526905,56.907492050526905,56.907492050526905,0.0,0.0,489.581441940973,489.581441940973,30.736902843463465,30.736902843463465,3.317012287098107
6,058c3e72a3b9,844987759920,sglang,sglang_tp4_dpattn_ep,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":4,""dtype"":""bfloat16"",""enable_dp_attention"":true,""ep"":4,""max_running_requests"":128,""mem_fraction_static"":0.85,""moe_a2a_backend"":""none"",""moe_runner_backend"":""auto"",""tp"":4}",prompt256_out128_conc4_seed0_rep0,256,128,4,inf,goodput_at_slo,56.52989179657341,0.7198995335047973,1,0,1,True,,56.52989179657341,56.52989179657341,56.52989179657341,0.0,0.0,267.77375864214264,267.77375864214264,23.787542289651434,23.787542289651434,3.295002800528869
7,b74cb14ac0c9,96ff1c2efd6b,vllm,vllm_tp2dp2,"{""data_parallel_size"":2,""dtype"":""bfloat16"",""enable_expert_parallel"":false,""enable_prefix_caching"":false,""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":2}",prompt256_out128_conc4_seed0_rep0,256,128,4,inf,goodput_at_slo,56.20627438120012,0.7157783151730936,1,0,1,True,,56.20627438120012,56.20627438120012,56.20627438120012,0.0,0.0,1386.9935305637773,1386.9935305637773,21.644829191252835,21.644829191252835,1.7564460744125037
8,44075407cd3e,e7cd2996774d,vllm,vllm_tp2dp2_ep,"{""all2all_backend"":""allgather_reducescatter"",""data_parallel_size"":2,""dtype"":""bfloat16"",""enable_ep_weight_filter"":true,""enable_expert_parallel"":true,""enable_prefix_caching"":false,""expert_placement_strategy"":""linear"",""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":2}",prompt256_out128_conc4_seed0_rep0,256,128,4,inf,goodput_at_slo,46.31010972100332,0.5897521704919858,1,0,1,True,,46.31010972100332,46.31010972100332,46.31010972100332,0.0,0.0,425.4180041141808,425.4180041141808,23.2370056504545,23.2370056504545,1.4471909287813538
9,982d1b6dddc5,c9f9857d618a,sglang,sglang_tp4_dpattn2_ep,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":2,""dtype"":""bfloat16"",""enable_dp_attention"":true,""ep"":4,""max_running_requests"":128,""mem_fraction_static"":0.85,""moe_a2a_backend"":""none"",""moe_runner_backend"":""auto"",""tp"":4}",prompt256_out128_conc4_seed0_rep0,256,128,4,inf,goodput_at_slo,43.89529448134581,0.5589998674310573,1,0,1,True,,43.89529448134581,43.89529448134581,43.89529448134581,0.0,0.0,454.66604638611904,454.66604638611904,29.753635939236045,29.753635939236045,2.5585599697687904
1,d3ac2d162a80,9a0696003dfe,vllm,vllm_tp4dp1,"{""data_parallel_size"":1,""dtype"":""bfloat16"",""enable_expert_parallel"":false,""enable_prefix_caching"":false,""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":4}",prompt256_out128_conc64_seed0_rep0,256,128,64,inf,goodput_at_slo,224.1696550886981,1.0,1,0,1,True,,224.1696550886981,224.1696550886981,224.1696550886981,0.0,0.0,1502.022790282499,1502.022790282499,33.837979407357714,33.837979407357714,7.005301721521816
2,5caf3fdc02e4,702117e71a9e,vllm,vllm_tp4dp1_ep,"{""all2all_backend"":""allgather_reducescatter"",""data_parallel_size"":1,""dtype"":""bfloat16"",""enable_ep_weight_filter"":true,""enable_expert_parallel"":true,""enable_prefix_caching"":false,""expert_placement_strategy"":""linear"",""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":4}",prompt256_out128_conc64_seed0_rep0,256,128,64,inf,goodput_at_slo,218.56418251060015,0.9749945077272835,1,0,1,True,,218.56418251060015,218.56418251060015,218.56418251060015,0.0,0.0,1465.4554563586134,1465.4554563586134,34.89966639624652,34.89966639624652,6.830130703456255
3,b74cb14ac0c9,96ff1c2efd6b,vllm,vllm_tp2dp2,"{""data_parallel_size"":2,""dtype"":""bfloat16"",""enable_expert_parallel"":false,""enable_prefix_caching"":false,""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":2}",prompt256_out128_conc64_seed0_rep0,256,128,64,inf,goodput_at_slo,184.3933895142353,0.8225617755501994,1,0,1,True,,184.3933895142353,184.3933895142353,184.3933895142353,0.0,0.0,1957.7940334193408,1957.7940334193408,41.390725024416675,41.390725024416675,5.762293422319853
4,44075407cd3e,e7cd2996774d,vllm,vllm_tp2dp2_ep,"{""all2all_backend"":""allgather_reducescatter"",""data_parallel_size"":2,""dtype"":""bfloat16"",""enable_ep_weight_filter"":true,""enable_expert_parallel"":true,""enable_prefix_caching"":false,""expert_placement_strategy"":""linear"",""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":2}",prompt256_out128_conc64_seed0_rep0,256,128,64,inf,goodput_at_slo,178.3664829163393,0.7956763052776448,1,0,1,True,,178.3664829163393,178.3664829163393,178.3664829163393,0.0,0.0,1864.2375497391913,1864.2375497391913,41.101630162695194,41.101630162695194,5.573952591135603
5,ecde138830b5,2e106f1b71b3,sglang,sglang_tp4_dpattn,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":4,""dtype"":""bfloat16"",""enable_dp_attention"":true,""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",prompt256_out128_conc64_seed0_rep0,256,128,64,inf,goodput_at_slo,178.14052562461654,0.7946683307967395,1,0,1,True,,178.14052562461654,178.14052562461654,178.14052562461654,0.0,0.0,691.3012891553808,691.3012891553808,22.49200370037995,22.49200370037995,10.383418615642496
6,a14324327f8c,7259e83ff328,sglang,sglang_tp4,"{""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",prompt256_out128_conc64_seed0_rep0,256,128,64,inf,goodput_at_slo,172.26231652385073,0.7684461862409121,1,0,1,True,,172.26231652385073,172.26231652385073,172.26231652385073,0.0,0.0,710.4956264200155,710.4956264200155,24.518367962295528,24.518367962295528,10.040790762774542
7,058c3e72a3b9,f24f3ce68907,sglang,sglang_tp4_dpattn_ep,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":4,""dtype"":""bfloat16"",""enable_dp_attention"":true,""ep"":4,""max_running_requests"":128,""mem_fraction_static"":0.85,""moe_a2a_backend"":""none"",""moe_runner_backend"":""auto"",""tp"":4}",prompt256_out128_conc64_seed0_rep0,256,128,64,inf,goodput_at_slo,172.10792145924685,0.767757444205141,1,0,1,True,,172.10792145924685,172.10792145924685,172.10792145924685,0.0,0.0,658.3458429959137,658.3458429959137,23.411984671140093,23.411984671140093,10.03179141474663
8,062e476d673a,cc331fecee14,sglang,sglang_tp4_ep,"{""attention_backend"":""flashinfer"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""ep"":4,""max_running_requests"":128,""mem_fraction_static"":0.85,""moe_a2a_backend"":""none"",""moe_runner_backend"":""auto"",""tp"":4}",prompt256_out128_conc64_seed0_rep0,256,128,64,inf,goodput_at_slo,164.87384598255264,0.7354869057425116,1,0,1,True,,164.87384598255264,164.87384598255264,164.87384598255264,0.0,0.0,712.7642280317377,712.7642280317377,25.482310024489035,25.482310024489035,9.61013309916518
9,982d1b6dddc5,286650a5fe36,sglang,sglang_tp4_dpattn2_ep,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":2,""dtype"":""bfloat16"",""enable_dp_attention"":true,""ep"":4,""max_running_requests"":128,""mem_fraction_static"":0.85,""moe_a2a_backend"":""none"",""moe_runner_backend"":""auto"",""tp"":4}",prompt256_out128_conc64_seed0_rep0,256,128,64,inf,goodput_at_slo,143.69051294880632,0.6409900255766183,1,0,1,True,,143.69051294880632,143.69051294880632,143.69051294880632,0.0,0.0,725.4479354957584,725.4479354957584,29.976836955441197,29.976836955441197,8.375403304848454
1,a14324327f8c,4a0a41097e36,sglang,sglang_tp4,"{""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",prompt4096_out128_conc16_seed0_rep0,4096,128,16,inf,goodput_at_slo,0.0,,1,0,1,False,constraint_failed:p99_ttft_ms>2000,0.0,35.76152921860739,35.76152921860739,0.0,0.0,5597.749780443264,5597.749780443264,121.50324612302181,121.50324612302181,2.0844607194816698
2,ecde138830b5,dcb5dda966a7,sglang,sglang_tp4_dpattn,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":4,""dtype"":""bfloat16"",""enable_dp_attention"":true,""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",prompt4096_out128_conc16_seed0_rep0,4096,128,16,inf,goodput_at_slo,0.0,,1,0,1,False,constraint_failed:p99_ttft_ms>2000,0.0,37.42111503172892,37.42111503172892,0.0,0.0,5099.591908132425,5099.591908132425,106.31217166442762,106.31217166442762,2.1811943187892995
3,982d1b6dddc5,1ba114970a4e,sglang,sglang_tp4_dpattn2_ep,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":2,""dtype"":""bfloat16"",""enable_dp_attention"":true,""ep"":4,""max_running_requests"":128,""mem_fraction_static"":0.85,""moe_a2a_backend"":""none"",""moe_runner_backend"":""auto"",""tp"":4}",prompt4096_out128_conc16_seed0_rep0,4096,128,16,inf,goodput_at_slo,0.0,,1,0,1,False,constraint_failed:p99_ttft_ms>2000,0.0,34.92264221719551,34.92264221719551,0.0,0.0,5266.751178809209,5266.751178809209,115.45636603282765,115.45636603282765,2.035563845082434
4,058c3e72a3b9,9a9b40d49d26,sglang,sglang_tp4_dpattn_ep,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":4,""dtype"":""bfloat16"",""enable_dp_attention"":true,""ep"":4,""max_running_requests"":128,""mem_fraction_static"":0.85,""moe_a2a_backend"":""none"",""moe_runner_backend"":""auto"",""tp"":4}",prompt4096_out128_conc16_seed0_rep0,4096,128,16,inf,goodput_at_slo,0.0,,1,0,1,False,constraint_failed:p99_ttft_ms>2000,0.0,38.028149844592676,38.028149844592676,0.0,0.0,4766.1458992015105,4766.1458992015105,103.43012857170173,103.43012857170173,2.2165770401219773
5,062e476d673a,96fabf1227f9,sglang,sglang_tp4_ep,"{""attention_backend"":""flashinfer"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""ep"":4,""max_running_requests"":128,""mem_fraction_static"":0.85,""moe_a2a_backend"":""none"",""moe_runner_backend"":""auto"",""tp"":4}",prompt4096_out128_conc16_seed0_rep0,4096,128,16,inf,goodput_at_slo,0.0,,1,0,1,False,constraint_failed:p99_ttft_ms>2000,0.0,35.2161297472461,35.2161297472461,0.0,0.0,5635.087992921472,5635.087992921472,122.76463384437376,122.76463384437376,2.0526705863604287
6,b74cb14ac0c9,96ff1c2efd6b,vllm,vllm_tp2dp2,"{""data_parallel_size"":2,""dtype"":""bfloat16"",""enable_expert_parallel"":false,""enable_prefix_caching"":false,""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":2}",prompt4096_out128_conc16_seed0_rep0,4096,128,16,inf,goodput_at_slo,0.0,,1,0,1,False,constraint_failed:p99_ttft_ms>2000,0.0,38.145016655118546,38.145016655118546,0.0,0.0,10322.707395217149,10322.707395217149,99.87928229231962,99.87928229231962,1.1920317704724546
7,44075407cd3e,e7cd2996774d,vllm,vllm_tp2dp2_ep,"{""all2all_backend"":""allgather_reducescatter"",""data_parallel_size"":2,""dtype"":""bfloat16"",""enable_ep_weight_filter"":true,""enable_expert_parallel"":true,""enable_prefix_caching"":false,""expert_placement_strategy"":""linear"",""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":2}",prompt4096_out128_conc16_seed0_rep0,4096,128,16,inf,goodput_at_slo,0.0,,1,0,1,False,constraint_failed:p99_ttft_ms>2000,0.0,41.01299473783597,41.01299473783597,0.0,0.0,9307.429988936055,9307.429988936055,89.96103957757414,89.96103957757414,1.281656085557374
8,d3ac2d162a80,9a0696003dfe,vllm,vllm_tp4dp1,"{""data_parallel_size"":1,""dtype"":""bfloat16"",""enable_expert_parallel"":false,""enable_prefix_caching"":false,""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":4}",prompt4096_out128_conc16_seed0_rep0,4096,128,16,inf,goodput_at_slo,0.0,,1,0,1,False,constraint_failed:p99_ttft_ms>2000,0.0,39.80919504131566,39.80919504131566,0.0,0.0,10665.304132665042,10665.304132665042,94.67551086549868,94.67551086549868,1.2440373450411144
9,5caf3fdc02e4,702117e71a9e,vllm,vllm_tp4dp1_ep,"{""all2all_backend"":""allgather_reducescatter"",""data_parallel_size"":1,""dtype"":""bfloat16"",""enable_ep_weight_filter"":true,""enable_expert_parallel"":true,""enable_prefix_caching"":false,""expert_placement_strategy"":""linear"",""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":4}",prompt4096_out128_conc16_seed0_rep0,4096,128,16,inf,goodput_at_slo,0.0,,1,0,1,False,constraint_failed:p99_ttft_ms>2000,0.0,40.114669548844354,40.114669548844354,0.0,0.0,10476.643310531508,10476.643310531508,93.89857217174492,93.89857217174492,1.253583423401386
1,a14324327f8c,644ac91be4d4,sglang,sglang_tp4,"{""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",prompt4096_out128_conc4_seed0_rep0,4096,128,4,inf,goodput_at_slo,29.344309014257995,1.0,1,0,1,True,,29.344309014257995,29.344309014257995,29.344309014257995,0.0,0.0,1715.4564191319514,1715.4564191319514,76.6820733798134,76.6820733798134,1.710415097370229
2,ecde138830b5,6344bdf6aac8,sglang,sglang_tp4_dpattn,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":4,""dtype"":""bfloat16"",""enable_dp_attention"":true,""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",prompt4096_out128_conc4_seed0_rep0,4096,128,4,inf,goodput_at_slo,29.262615139692546,0.997216023232111,1,0,1,True,,29.262615139692546,29.262615139692546,29.262615139692546,0.0,0.0,1552.3387011303566,1552.3387011303566,71.14904553710424,71.14904553710424,1.7056533414757038
3,058c3e72a3b9,57ec445fc1c2,sglang,sglang_tp4_dpattn_ep,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":4,""dtype"":""bfloat16"",""enable_dp_attention"":true,""ep"":4,""max_running_requests"":128,""mem_fraction_static"":0.85,""moe_a2a_backend"":""none"",""moe_runner_backend"":""auto"",""tp"":4}",prompt4096_out128_conc4_seed0_rep0,4096,128,4,inf,goodput_at_slo,29.090896902312124,0.9913641820012616,1,0,1,True,,29.090896902312124,29.090896902312124,29.090896902312124,0.0,0.0,1446.0963674646337,1446.0963674646337,70.71901895136914,70.71901895136914,1.6956442638870455
4,062e476d673a,28b0893928b9,sglang,sglang_tp4_ep,"{""attention_backend"":""flashinfer"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""ep"":4,""max_running_requests"":128,""mem_fraction_static"":0.85,""moe_a2a_backend"":""none"",""moe_runner_backend"":""auto"",""tp"":4}",prompt4096_out128_conc4_seed0_rep0,4096,128,4,inf,goodput_at_slo,28.58187570293676,0.974017677126056,1,0,1,True,,28.58187570293676,28.58187570293676,28.58187570293676,0.0,0.0,1721.8074434879236,1721.8074434879236,77.43871130023847,77.43871130023847,1.6659745400618877
5,982d1b6dddc5,344c8030440a,sglang,sglang_tp4_dpattn2_ep,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":2,""dtype"":""bfloat16"",""enable_dp_attention"":true,""ep"":4,""max_running_requests"":128,""mem_fraction_static"":0.85,""moe_a2a_backend"":""none"",""moe_runner_backend"":""auto"",""tp"":4}",prompt4096_out128_conc4_seed0_rep0,4096,128,4,inf,goodput_at_slo,25.797500598408053,0.8791313022867024,1,0,1,True,,25.797500598408053,25.797500598408053,25.797500598408053,0.0,0.0,1630.6199817662127,1630.6199817662127,78.51117206311129,78.51117206311129,1.5036794520019265
6,b74cb14ac0c9,96ff1c2efd6b,vllm,vllm_tp2dp2,"{""data_parallel_size"":2,""dtype"":""bfloat16"",""enable_expert_parallel"":false,""enable_prefix_caching"":false,""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":2}",prompt4096_out128_conc4_seed0_rep0,4096,128,4,inf,goodput_at_slo,0.0,0.0,1,0,1,False,constraint_failed:p99_ttft_ms>2000,0.0,21.869216874198283,21.869216874198283,0.0,0.0,4412.336820380297,4412.336820380297,42.76331825516422,42.76331825516422,0.6834130273186964
